"weight";"word";"color";"url"
"20";"bad";"";""
"20";"good";"";""
"18";"car break ins";"";""
"18";"improved greatly";"";""
"17";"feel unsafe";"";""
"16";"run down";"";""
"15";"area has improved";"";""
"15";"decent place";"";""
"14";"has gotten worse";"";""
"14";"kind of ghetto";"";""
"13";"east cobb snob";"";""
"13";"good investment";"";""
"13";"home";"";""
"11";"great";"";""
"10";"isn't the best";"";""
"10";"kids";"";""
"10";"work";"";""
"9";"bad area";"";""
"9";"better";"";""
"9";"nice area";"";""
"9";"the best";"";""
"9";"the worst";"";""
"8";"neighborhood";"";""
"8";"older";"";""
"7";"complex";"";""
"7";"crime";"";""
"7";"safe";"";""
"6";"a nice area";"";""
"6";"danger";"";""
"6";"family";"";""
"6";"love";"";""
"6";"roaches";"";""
"5";"gun";"";""
"5";"happy";"";""
"4";"police";"";""
"4";"shopping";"";""
"4";"traffic";"";""
"3";"clean";"";""
"3";"convenient";"";""
"3";"diverse";"";""
"3";"friend";"";""
"3";"lease";"";""
"3";"rent";"";""
"3";"sketchy";"";""
"3";"windy";"";""
